NOC,GDP,Year
Namibia,362,2000
Mozambique,558,2000
Morocco,4176,2000
Montenegro,76,2000
Mongolia,90,2000
Moldova,105,2000
Mexico,72370,2000
Mauritius,441,2000
Malaysia,9129,2000
Luxembourg,2051,2000
Lithuania,1106,2000
Lebanon,1663,2000
Latvia,737,2000
Kuwait,3659,2000
Kenya,1219,2000
Kazakhstan,1764,2000
Jordan,805,2000
Japan,484662,2000
Jamaica,858,2000
Italy,112133,2000
Israel,13269,2000
Ireland,9755,2000
Iraq,4698,2000
Indonesia,16078,2000
India,45673,2000
Iceland,860,2000
Hungary,4586,2000
Haiti,644,2000
Guyana,49,2000
Guatemala,1861,2000
Grenada,30,2000
Greece,12248,2000
Ghana,466,2000
Germany,191866,2000
Georgia,278,2000
Gabon,475,2000
France,132746,2000
Finland,12268,2000
Fiji,143,2000
Ethiopia,784,2000
Estonia,534,2000
Eritrea,48,2000
Ecuador,1691,2000
Dominican Republic,2351,2000
Dominica,12,2000
Djibouti,33,2000
Denmark,15983,2000
Cyprus,954,2000
Cuba,2961,2000
Croatia,2139,2000
Costa Rica,1444,2000
Colombia,9723,2000
China,118150,2000
Chile,7622,2000
Canada,72635,2000
Cameroon,1010,2000
Cabo Verde,32,2000
Burundi,64,2000
Burkina Faso,269,2000
Bulgaria,1272,2000
Brazil,63921,2000
Botswana,544,2000
Bermuda,319,2000
Belgium,23080,2000
Belarus,1222,2000
Barbados,278,2000
Bahrain,864,2000
Azerbaijan,494,2000
Austria,19118,2000
Australia,40578,2000
Armenia,166,2000
Argentina,27705,2000
Algeria,5325,2000
Albania,319,2000
Afghanistan,323,2000
Zimbabwe,456,2004
Zambia,490,2004
Uzbekistan,965,2004
Uruguay,1101,2004
United States,1000000,2004
United Arab Emirates,12081,2004
Ukraine,5483,2004
Uganda,630,2004
Turkmenistan,540,2004
Tunisia,2533,2004
Trinidad and Tobago,1068,2004
Tonga,0,2004
Togo,242,2004
Thailand,14133,2004
Tanzania,1345,2004
Tajikistan,151,2004
Switzerland,33042,2004
Sweden,31457,2004
Suriname,102,2004
Sudan,2162,2004
Sri Lanka,1672,2004
Spain,87550,2004
South Africa,20919,2004
Slovenia,2776,2004
Singapore,9397,2004
Serbia,2178,2004
Senegal,805,2004
Saudi Arabia,21160,2004
San Marino,121,2004
Samoa,14,2004
Romania,6117,2004
Qatar,2578,2004
Puerto Rico,6555,2004
Portugal,15482,2004
Poland,20957,2004
Philippines,7757,2004
Peru,5446,2004
Paraguay,768,2004
Panama,1217,2004
Pakistan,10803,2004
Norway,21694,2004
North Macedonia,446,2004
Nigeria,11093,2004
Niger,288,2004
New Zealand,8486,2004
Netherlands,54104,2004
Namibia,522,2004
Mozambique,630,2004
Morocco,5392,2004
Montenegro,150,2004
Mongolia,144,2004
Moldova,193,2004
Mexico,67056,2004
Mauritius,526,2004
Malaysia,10192,2004
Luxembourg,2851,2004
Lithuania,1842,2004
Lebanon,1713,2004
Latvia,1112,2004
Kuwait,4846,2004
Kenya,1298,2004
Kazakhstan,3513,2004
Jordan,915,2004
Japan,400499,2004
Jamaica,813,2004
Italy,148365,2004
Israel,11432,2004
Ireland,15891,2004
Iraq,2979,2004
Indonesia,21004,2004
India,58027,2004
Iceland,1112,2004
Hungary,8503,2004
Haiti,479,2004
Guyana,45,2004
Guatemala,1910,2004
Grenada,30,2004
Greece,19214,2004
Ghana,708,2004
Germany,233452,2004
Georgia,400,2004
Gabon,617,2004
France,172674,2004
Finland,16143,2004
Fiji,202,2004
Ethiopia,810,2004
Estonia,975,2004
Eritrea,71,2004
Ecuador,2861,2004
Dominican Republic,1808,2004
Dominica,11,2004
Djibouti,35,2004
Denmark,20607,2004
Cyprus,1398,2004
Cuba,3108,2004
Croatia,3405,2004
Costa Rica,1504,2004
Colombia,9565,2004
China,160032,2004
Chile,8090,2004
Canada,84019,2004
Cameroon,1522,2004
Cabo Verde,56,2004
Burundi,56,2004
Burkina Faso,427,2004
Bulgaria,2122,2004
Brazil,54764,2004
Botswana,714,2004
Bermuda,348,2004
Belgium,30202,2004
Belarus,1875,2004
Barbados,263,2004
Bahrain,1057,2004
Azerbaijan,691,2004
Austria,24472,2004
Australia,50293,2004
Armenia,273,2004
Argentina,13458,2004
Algeria,7504,2004
Albania,569,2004
Afghanistan,408,2004
Zimbabwe,275,2008
Zambia,1189,2008
Uzbekistan,1977,2008
Uruguay,2083,2008
United States,1000000,2008
United Arab Emirates,21336,2008
Ukraine,12713,2008
Uganda,954,2008
Turkmenistan,1281,2008
Tunisia,3013,2008
Trinidad and Tobago,1863,2008
Tonga,0,2008
Togo,286,2008
Thailand,19705,2008
Tanzania,1868,2008
Tajikistan,326,2008
Switzerland,38384,2008
Sweden,34819,2008
Suriname,215,2008
Sudan,4366,2008
Sri Lanka,2733,2008
Spain,110753,2008
South Africa,21380,2008
Slovenia,3735,2008
Singapore,13085,2008
Serbia,3647,2008
Senegal,1117,2008
Saudi Arabia,35170,2008
San Marino,139,2008
Samoa,20,2008
Romania,14487,2008
Qatar,7781,2008
Puerto Rico,6316,2008
Portugal,17811,2008
Poland,36241,2008
Philippines,12273,2008
Peru,8138,2008
Paraguay,1643,2008
Panama,1718,2008
Pakistan,13667,2008
Norway,31454,2008
North Macedonia,647,2008
Nigeria,22961,2008
Niger,470,2008
New Zealand,8990,2008
Netherlands,64833,2008
Namibia,559,2008
Mozambique,851,2008
Morocco,6870,2008
Montenegro,284,2008
Mongolia,357,2008
Moldova,386,2008
Mexico,78622,2008
Mauritius,653,2008
Malaysia,15604,2008
Luxembourg,3960,2008
Lithuania,3215,2008
Lebanon,1948,2008
Latvia,2287,2008
Kuwait,9955,2008
Kosovo,327,2008
Kenya,2407,2008
Kazakhstan,9011,2008
Jordan,1510,2008
Japan,345734,2008
Jamaica,904,2008
Italy,163658,2008
Israel,14909,2008
Ireland,18626,2008
Iraq,8887,2008
Indonesia,34522,2008
India,81150,2008
Iceland,1200,2008
Hungary,10696,2008
Haiti,683,2008
Guyana,181,2008
Guatemala,2583,2008
Grenada,32,2008
Greece,23750,2008
Ghana,1918,2008
Germany,257858,2008
Georgia,843,2008
Gabon,1030,2008
France,198141,2008
Finland,19320,2008
Fiji,215,2008
Ethiopia,1809,2008
Estonia,1624,2008
Eritrea,70,2008
Ecuador,4116,2008
Dominican Republic,3234,2008
Dominica,7,2008
Djibouti,44,2008
Denmark,24011,2008
Cyprus,1861,2008
Cuba,3788,2008
Croatia,4613,2008
Costa Rica,2062,2008
Colombia,16395,2008
China,311045,2008
Chile,12156,2008
Canada,105124,2008
Cameroon,1853,2008
Cabo Verde,109,2008
Burundi,85,2008
Burkina Faso,616,2008
Bulgaria,3665,2008
Brazil,114797,2008
Botswana,703,2008
Bermuda,449,2008
Belgium,35003,2008
Belarus,4090,2008
Barbados,301,2008
Bahrain,1717,2008
Azerbaijan,3284,2008
Austria,29038,2008
Australia,71482,2008
Armenia,766,2008
Argentina,24456,2008
Algeria,12189,2008
Albania,848,2008
Afghanistan,661,2008
Zimbabwe,1024,2012
Zambia,1540,2012
Uzbekistan,4125,2012
Uruguay,3307,2012
United States,1000000,2012
United Arab Emirates,23634,2012
Ukraine,11205,2012
Uganda,1651,2012
Turkmenistan,2134,2012
Tunisia,2881,2012
Trinidad and Tobago,1652,2012
Tonga,0,2012
Togo,304,2012
Thailand,24430,2012
Tanzania,2410,2012
Tajikistan,440,2012
Switzerland,42203,2012
Sweden,33794,2012
Suriname,277,2012
Sudan,2286,2012
Sri Lanka,4305,2012
Spain,81860,2012
South Africa,26697,2012
Slovenia,2811,2012
Singapore,18126,2012
Serbia,2746,2012
Senegal,1057,2012
Saudi Arabia,45613,2012
San Marino,69,2012
Samoa,18,2012
Romania,10991,2012
Qatar,11465,2012
Puerto Rico,6219,2012
Portugal,13293,2012
Poland,30619,2012
Philippines,16085,2012
Peru,11823,2012
Paraguay,2018,2012
Panama,2530,2012
Pakistan,15358,2012
Norway,31519,2012
North Macedonia,570,2012
Nigeria,28516,2012
Niger,551,2012
New Zealand,10812,2012
Netherlands,52002,2012
Namibia,773,2012
Mozambique,997,2012
Morocco,6550,2012
Montenegro,222,2012
Mongolia,727,2012
Moldova,506,2012
Mexico,77191,2012
Mauritius,688,2012
Malaysia,19317,2012
Luxembourg,3648,2012
Lithuania,2598,2012
Lebanon,2679,2012
Latvia,1639,2012
Kuwait,10679,2012
Kosovo,350,2012
Kenya,3440,2012
Kazakhstan,12768,2012
Jordan,1917,2012
Japan,385879,2012
Jamaica,882,2012
Italy,129046,2012
Israel,16147,2012
Ireland,13953,2012
Iraq,13383,2012
Indonesia,56443,2012
India,112416,2012
Iceland,878,2012
Hungary,7896,2012
Haiti,814,2012
Guyana,220,2012
Guatemala,3022,2012
Grenada,20,2012
Greece,14665,2012
Ghana,2510,2012
Germany,221332,2012
Georgia,1010,2012
Gabon,1027,2012
France,165043,2012
Finland,15810,2012
Fiji,215,2012
Ethiopia,2635,2012
Estonia,1400,2012
Ecuador,5368,2012
Dominican Republic,3704,2012
Dominica,0,2012
Djibouti,54,2012
Denmark,20076,2012
Cyprus,1512,2012
Cuba,4471,2012
Croatia,3511,2012
Costa Rica,2876,2012
Colombia,22777,2012
China,524915,2012
